Gene_name,gene_expression,copy_number
EXT1,4.37503943135,1.01620196744
SOCS1,1.15704371015,0.6065386892419999
SS18L1,4.641546029090001,1.01412750109
TERT,0.713695814843,1.01140220504
FANCD2,5.97062361447,1.01684419854
HOXC13,3.70818723602,1.02232866064
CCND3,5.85299758761,1.02241395315
MAFB,1.9221978484,1.01412750109
EED,5.674969030619999,1.03753953683
CD74,0.584962500721,1.0131064989299998
VHL,5.65449282588,1.01684419854
CYSLTR2,0.0565835283664,0.598674123035
BCR,5.016139702659999,1.0163071326100002
IL7R,0.111031312389,1.01140220504
HOOK3,3.62058641045,1.01620196744
PREX2,0.378511623254,1.01620196744
CBFA2T3,3.37016428054,0.646115446677
PRKACA,6.662205499650001,1.0320921856299998
TSC1,5.2160667830900005,1.01659738692
PAFAH1B2,5.438958147899999,1.03753953683
KMT2C,4.51727569321,1.01781161212
PTPRK,4.4620523188,1.02241395315
BCL2,4.74738739965,1.0809029767
CPEB3,1.35614381023,1.0128845261200001
FH,7.72941681465,1.51615977479
CIC,5.9534980632000005,1.00908542898
ETV4,5.01033228328,1.01981878601
NKX2-1,3.0338634518700003,1.0135909197
MSH6,6.124121311830001,1.00531927016
RARA,3.36317107712,1.01981878601
EPAS1,1.88362081629,1.00531927016
BRAF,3.75167794569,1.01781161212
IRF4,0.0840642647885,1.01785159734
FAM135B,0.0,1.01620196744
SDHC,7.390770849419999,1.33457047307
ERBB2,4.44757919655,1.01981878601
CNBD1,0.0,1.01620196744
PRKAR1A,7.574858391289999,1.03800373012
NF1,5.03869955131,1.01981878601
RBM10,5.61146750023,0.965907101416
RHOA,8.737281149189998,1.01684419854
KNSTRN,6.143842354199999,1.0154306483600002
SLC45A3,4.0241423459,1.51589052903
BARD1,4.39917109382,0.9998430085430001
PRDM16,0.704871964456,1.04721725054
CRNKL1,4.18189764311,1.01412750109
CCR7,0.23878685958700002,1.01981878601
RET,3.10601323762,1.00930934294
ZNF429,2.81557542886,0.8473979930850001
ZMYM2,5.93522399406,1.02571924172
CTCF,5.13750352375,0.646115446677
CD274,1.2016338611700002,1.01659738692
ITK,0.0143552929771,1.0131064989299998
LEF1,2.9927684307700004,1.0251321619
STAT3,5.4056520612800005,1.01981878601
MTOR,5.52794609891,1.04721725054
GMPS,6.24659810306,1.01684419854
CBLC,1.11769504267,1.00908542898
MUTYH,4.57591736112,1.02902267685
BCL9L,4.25776496857,1.03753953683
MAP2K2,6.88630626345,1.0320921856299998
HNF1A,0.978195629682,1.02232866064
CYLD,3.10433665981,0.573583120636
RNF213,4.97544676564,1.03800373012
PML,3.98641093525,1.0154306483600002
CUL3,5.938285791880001,0.9998430085430001
RAD17,5.0938136734,1.01140220504
FKBP9,6.467442524480001,1.03305163682
EML4,4.53106949273,1.00531927016
BRD4,5.5039847039,1.0320921856299998
DEK,8.06764947166,1.01785159734
PAX8,0.575312330687,1.00531927016
BRIP1,4.13175409098,1.03800373012
STAT5B,4.71534429536,1.01981878601
TSHR,0.0703893278914,1.0135909197
JAK2,2.1440463696200003,1.01659738692
FIP1L1,6.248307120090001,1.02486616964
BMPR1A,3.8519988371099996,1.0128845261200001
HMGA1,7.524267449580001,1.02241395315
MAP3K1,3.3743439890400007,1.01140220504
AXIN2,1.9891390073700002,1.03800373012
KAT6A,4.66049513189,1.01620196744
SALL4,0.0565835283664,1.01412750109
FGFR1,5.36036427654,1.01620196744
PPP6C,5.34695688938,1.01659738692
TFE3,4.77452352959,0.965907101416
LRIG3,2.40599235968,1.02232866064
NFKB2,4.16591193894,1.0128845261200001
TEC,0.7739963251109999,1.02486616964
