Gene_name,gene_expression,copy_number
EXT1,5.83516615722,0.9652659616570001
SOCS1,1.7441610955700002,1.0924118914899998
SS18L1,5.07124781946,1.83652569064
TERT,0.163498732283,1.85295633949
FANCD2,5.6934869575,1.3530216959999999
HOXC13,3.84297883179,0.942300563912
CCND3,5.4262647547,1.1362808253899999
MAFB,1.88752527074,1.3037088503
EED,6.0408924306500005,1.36381177129
CD74,5.81506301719,0.854798659205
VHL,5.64558638591,1.3530216959999999
CYSLTR2,0.0143552929771,1.35282758373
BCR,5.99435343686,1.91346110182
IL7R,4.4659744644999995,1.76624253221
HOOK3,2.08406426479,0.48235961178099995
PREX2,0.0,0.8874844960639999
CBFA2T3,0.17632277264000001,1.0846477568200001
PRKACA,6.04439411936,0.8136135698810001
TSC1,3.76765479824,1.07609360083
PAFAH1B2,4.9959367035,0.958506416743
KMT2C,4.06781078379,1.14296698523
PTPRK,4.750070485869999,0.871492541253
BCL2,1.84799690655,0.49116371690399996
CPEB3,0.263034405834,0.852515539756
FH,7.47613862548,1.15437870195
CIC,5.01346225981,1.08648054969
ETV4,4.510961919280001,1.1063582199200002
NKX2-1,1.84398384405,1.12028529884
MSH6,6.85909989349,1.64155807996
RARA,4.11436702495,1.1063582199200002
EPAS1,6.8999006636,1.64155807996
BRAF,4.08321336825,1.1358399206999998
IRF4,0.12432813500199999,1.13155936267
FAM135B,0.0,1.1275622033700001
SDHC,8.187352073200001,1.33478411888
ERBB2,5.4841381312,1.1063582199200002
CNBD1,0.0,0.8874844960639999
PRKAR1A,7.0224787853,0.938053337834
NF1,4.864433796369999,1.1063582199200002
RBM10,4.486714373030001,0.5065057922389999
RHOA,8.11655190229,0.8356358118420001
KNSTRN,5.98390566263,0.8472580742389999
SLC45A3,2.7739963251099997,1.3892750982
BARD1,3.0443941193599997,0.83510130671
PRDM16,2.13750352375,1.3493528404799997
CRNKL1,3.6881803585900004,0.8532546516220001
CCR7,0.150559676575,1.1063582199200002
RET,1.78659636189,1.41483713627
ZNF429,0.0565835283664,1.08648054969
ZMYM2,4.08915913191,0.87006557677
CTCF,4.3426969599800005,0.819991284896
CD274,3.64038956005,0.6917736033670001
ITK,0.0143552929771,0.854798659205
LEF1,1.7527485914099998,0.893481977389
STAT3,6.8741821898,1.1063582199200002
MTOR,5.48155728071,1.11694655438
GMPS,6.691952843049999,1.1286878702
CBLC,3.90014226036,1.08648054969
MUTYH,3.9781956296800005,1.15481494212
BCL9L,5.751410160060001,0.958506416743
MAP2K2,6.46532151358,0.8136135698810001
HNF1A,0.83995958749,1.04955488921
CYLD,3.1026581313599997,0.821807636197
RNF213,4.67694435911,0.917815046912
PML,3.6507645591199993,0.933917411329
CUL3,5.84197311893,0.85274043712
RAD17,4.07124781946,0.857587601305
FKBP9,6.775182264380001,1.7534483691900002
EML4,6.049412953119999,1.64155807996
BRD4,4.98504496225,1.08648054969
DEK,7.844297766860001,1.13155936267
PAX8,1.93734439215,1.0819393901999999
BRIP1,3.62993940944,0.938053337834
STAT5B,4.72955277045,1.1063582199200002
TSHR,0.0143552929771,1.12028529884
JAK2,1.35614381023,0.6917736033670001
FIP1L1,5.41006969176,0.8816259397399999
BMPR1A,3.1093605594,0.852515539756
HMGA1,8.56996950081,1.1362808253899999
MAP3K1,3.4019034716100003,0.857587601305
AXIN2,1.0703893278899999,0.938053337834
KAT6A,3.12267271882,0.48235961178099995
SALL4,1.9708536543400001,1.6690568366299998
FGFR1,4.52669484554,0.8638475263519999
PPP6C,5.71287086769,1.13157349576
TFE3,4.58736499094,0.5065057922389999
LRIG3,2.5459683691099997,0.9547675944030001
NFKB2,5.51947900231,0.852515539756
TEC,1.58976348698,0.8816259397399999
ELF3,7.15684152459,1.11947063918
EPS15,4.52042224853,1.15481494212
USP6,0.250961573533,1.07641219987
ARHGEF10,4.81762325751,0.8638475263519999
ATIC,6.54194842533,0.7970456811159999
HIF1A,6.46760555008,1.12028529884
SRSF3,7.724582064039999,1.1362808253899999
ARHGAP5,5.489928219409999,1.12028529884
RPL22,10.4871365988,1.3493528404799997
TFPT,5.28466218548,1.08648054969
PDCD1LG2,2.10433665981,0.6917736033670001
GNAS,9.7171280262,1.83652569064
CEP89,4.04089243065,1.08648054969
ARID1B,3.7782085764,0.871492541253
PLAG1,2.29865831556,1.2032428070799999
RAC1,8.657747174489998,1.5396623777200003
HOXA11,3.28095631383,1.7534483691900002
RANBP17,0.042644337408499995,0.854798659205
STAG1,3.29572302454,0.8545545913439999
GRM3,0.0,1.14384760832
SPECC1,6.049848549450001,1.1063582199200002
NBN,4.7782085764,0.8874844960639999
NFIB,3.36737106565,0.768866119498
USP44,0.0143552929771,0.8393725090790001
SLC34A2,0.0,0.494611310225
ARID1A,4.56437816857,0.83664925088
COX6C,8.21388187423,0.8874844960639999
EP300,3.99729240764,0.7953165098649999
SUZ12,5.244887059119999,1.1063582199200002
TPM3,10.300238147,1.5678940528100003
ID3,5.90086680798,1.10688741265
FOXL2,1.3840498068,0.8545545913439999
BIRC3,6.14343423678,3.1689890394
LATS1,3.0053999877399997,0.871492541253
HMGA2,5.47961860847,0.897209231533
ZNRF3,0.8797057662819999,0.0378817049869
MDM2,5.6088092426800005,0.897209231533
DDX5,8.32364027884,0.938053337834
ASXL2,4.52857131887,1.64155807996
EIF1AX,6.07167687375,0.5065057922389999
ELF4,4.9476661568,0.870078710305
STK11,4.88215391729,0.8136135698810001
MYC,5.93451650159,1.2175046491500001
PBRM1,4.48284828307,0.8356358118420001
NCKIPSD,3.9809392660900005,0.8356358118420001
PAX7,0.0703893278914,1.17858787024
BAZ1A,5.25550073315,1.12028529884
HOXD13,0.0,0.856654080204
CLIP1,5.64702663265,1.0968418363799999
BCL7A,2.20476675065,1.0968418363799999
STAT6,4.59335377098,0.920650314674
CHCHD7,6.656496370549999,1.2032428070799999
RGS7,0.0565835283664,1.15437870195
SKI,5.05093696523,1.3493528404799997
JAK3,1.25096157353,1.08648054969
MDS2,0.0,1.10688741265
ACKR3,0.516015147004,0.8472407521340001
RUNX1T1,0.0,0.8874844960639999
SEPT6,4.2750070475,0.870078710305
CDKN1B,4.94485844581,0.911277429053
CNBP,7.58878957883,0.8545545913439999
ATRX,4.4789718050300005,0.870078710305
ELL,3.5447326559300008,1.08648054969
CLTCL1,4.23112515788,1.8895410081900001
FLT3,0.163498732283,0.87006557677
FBXW7,3.86096279786,0.893481977389
FGFR2,5.1085244567800006,0.852515539756
LARP4B,5.40087943628,1.15755215599
FAT3,0.0,1.15252368081
HLF,0.44360665147600004,1.1247726635200002
VTI1A,4.08406426479,0.852515539756
PAX3,0.042644337408499995,0.85274043712
FAM47C,0.0,0.5065057922389999
SDHAF2,4.68481873755,0.845371053273
ZNF479,0.0,1.5352239583
MLH1,5.24184018356,0.8356358118420001
MYOD1,0.0,0.869295027133
XPA,3.53605290024,1.13157349576
HOXD11,1.58496250072,0.856654080204
PRRX1,0.17632277264000001,1.1577077499700001
DNMT3A,4.607626220849999,1.64155807996
STIL,4.86195536414,1.15481494212
SH2B3,3.7897292513800003,1.04955488921
TCF3,5.56010351346,0.8136135698810001
KIF5B,6.40582222051,1.20698354955
KRAS,4.08831123589,0.973787541835
CD79A,0.545968369105,1.08648054969
KIT,0.0565835283664,0.8816259397399999
ZNF331,3.29572302454,1.08648054969
TLX1,0.042644337408499995,0.852515539756
ASPSCR1,4.87332106291,0.917815046912
TRRAP,4.42693561965,1.1358399206999998
DROSHA,6.471512648049999,1.8893241724
HOXA9,4.03650333374,1.7534483691900002
WWTR1,4.48735771531,0.8545545913439999
ERCC5,4.247168000369999,1.37144254591
TFG,7.021146554310001,1.1370964411700002
BAP1,5.504302583159999,0.8356358118420001
MAPK1,7.688879711469999,1.91346110182
CEBPA,1.84398384405,1.08648054969
FOXP1,0.464668267003,0.897633944355
MITF,3.81557542886,0.897633944355
MUC4,0.782408564927,1.1286878702
PCSK7,4.9959367035,0.958506416743
OMD,0.0976107966264,1.13157349576
FCRL4,0.0,1.33478411888
POLD1,5.79597469421,1.08648054969
NF2,6.335032986590001,1.08629855252
EZR,7.659353759169999,0.8452974458589999
TOP1,6.388017285349999,1.3037088503
SMAD3,5.85798099513,0.8472580742389999
FLNA,9.847730759880001,0.870078710305
COL3A1,0.263034405834,0.855077656451
CTNNA2,0.0,1.0572974719600001
CDC73,4.4646682669999995,1.11947063918
NFKBIE,3.78868571061,1.1362808253899999
ETV5,4.99864683901,1.1286878702
MNX1,2.9855004302999997,1.14296698523
FANCA,4.74469931421,1.0846477568200001
RB1,2.9049657186799998,1.35282758373
AR,0.0143552929771,0.885038562104
PTPRD,0.0976107966264,0.6917736033670001
BCL2L12,6.78672703487,1.08648054969
MYCN,0.0143552929771,1.12833951246
NBEA,0.704871964456,0.87006557677
LATS2,3.8991756304800003,0.87006557677
APOBEC3B,5.73687542291,1.08629855252
ARHGEF12,4.57167680997,0.958506416743
CARD11,4.49952702422,1.5396623777200003
LMO2,0.992768430769,0.869295027133
ATR,4.24868662687,0.8545545913439999
CDKN2C,5.945326777259999,1.15481494212
LIFR,4.65191274465,1.5478954096899997
PTPRT,0.0,1.3037088503
DAXX,6.130519083029999,1.1362808253899999
TBL1XR1,5.46008724012,1.1286878702
MLLT11,3.27052894238,1.38314586085
PMS2,4.38335869539,1.5396623777200003
ERBB3,4.53294028837,0.9155036915420001
LCK,0.464668267003,0.83664925088
CSF3R,0.150559676575,1.1180684434700001
HOXC11,2.35895882583,0.942300563912
FANCE,2.9909548604,1.1362808253899999
CCR4,0.0703893278914,1.41451593451
N4BP2,1.66448284036,0.8816259397399999
RUNX1,5.69655030108,1.12793209986
LASP1,7.618385502260001,1.1063582199200002
QKI,5.043956872790001,0.8452974458589999
SRC,4.36176835942,1.3037088503
TFEB,2.3645724322999997,1.1362808253899999
MSI2,4.29645740737,0.829241905264
RGPD3,0.613531652918,1.0819393901999999
BCLAF1,6.12329372251,0.871492541253
SPOP,5.286881147790001,1.1247726635200002
SND1,6.708601109809999,1.1358399206999998
MYH9,9.263245722639999,1.08629855252
CCNE1,4.54225804977,1.08648054969
SFPQ,7.71884107473,0.83664925088
LRP1B,0.0,0.871700678627
AFF4,4.6820113908,0.854798659205
SIRPA,3.2585189247099997,0.8645726268189999
BCL10,4.607034345950001,1.15481494212
PTEN,5.049630767719999,0.852515539756
PRDM1,1.6229303509200002,0.871492541253
FGFR4,4.05918219921,0.854798659205
DDR2,0.50589092973,1.33478411888
PWWP2A,3.39231742278,0.854798659205
SYK,3.15542543175,1.13157349576
BLM,3.34624777408,0.933917411329
KIAA1549,2.266036894,1.1358399206999998
ARNT,4.81403764754,1.38314586085
CNOT3,5.264536431000001,1.08648054969
RSPO2,0.17632277264000001,0.8874844960639999
SETD1B,2.79285535236,1.0968418363799999
TTL,4.9321556844300005,1.0819393901999999
NCOR1,5.71039319217,1.07641219987
ZMYM3,3.4382928515800004,0.519164343314
BUB1B,5.50906238636,0.8472580742389999
DNAJB1,6.78188423454,1.08648054969
RABEP1,5.09845324631,1.07641219987
POU2AF1,0.18903382439,0.958506416743
CDH17,0.0976107966264,0.8874844960639999
CANT1,6.140778655780001,0.917815046912
NTHL1,4.66106547981,1.0924118914899998
HIP1,4.16992500144,1.14384760832
S100A7,0.111031312389,1.5678940528100003
CDK4,7.52465924141,0.920650314674
SDHD,6.695715488609999,0.958506416743
CDK6,4.64616265716,1.1358399206999998
CUX1,5.141187525,1.1358399206999998
CYP2C8,0.150559676575,0.852515539756
MEN1,4.42223300068,0.832339626777
NR4A3,1.56559717585,1.13157349576
CACNA1D,1.13093086983,0.8356358118420001
ARHGEF10L,2.92789645373,1.17858787024
FEN1,5.949534933019999,0.845371053273
NPM1,11.401306206,0.854798659205
CHD4,7.01301553584,0.935597899684
TMEM127,4.68537955196,1.04018913645
CDKN2A,7.0341937013899996,0.768866119498
RAF1,7.03265188975,1.3530216959999999
ABL2,4.76765479824,1.1577077499700001
ROS1,0.545968369105,0.871492541253
MAP3K13,5.400196342030001,1.1286878702
ACVR2A,2.3391373849200003,0.871700678627
SPEN,5.65963918702,1.11694655438
ERC1,3.8943327422800005,0.935597899684
FAT1,4.54658582901,0.480793290959
BTG1,3.40463068422,0.8393725090790001
CTNNB1,6.894211461539999,0.8356358118420001
CDKN1A,7.29682445865,1.1362808253899999
NAB2,4.5885647374000005,0.920650314674
FLI1,0.0565835283664,0.958506416743
MALT1,3.63110428237,0.49116371690399996
RPN1,7.149239038839999,0.8545545913439999
PRF1,0.111031312389,1.54229104819
MN1,1.7398481027000001,1.10307221629
HLA-A,8.02336625633,1.12537916827
PER1,4.78607355158,1.07641219987
RSPO3,0.0285691521968,0.871492541253
FNBP1,4.95559179175,1.37316895868
FCGR2B,0.0,1.33478411888
SUFU,2.69376571222,0.852515539756
NCOA2,2.85996954822,0.8874844960639999
HNRNPA2B1,10.604831178200001,1.7534483691900002
HRAS,4.91981677005,0.48364589488399995
MLLT10,4.37295209791,0.854897910195
PTPRB,0.6690267655100001,0.897209231533
KDR,0.042644337408499995,0.8816259397399999
TMPRSS2,0.831877241192,1.12793209986
AXIN1,4.5128589544499995,1.05734734175
POLQ,2.98185265329,0.8545545913439999
FOXO1,1.50080205306,0.87006557677
PTK6,3.8569856897800006,1.62691029097
KDM6A,3.7136958148400003,0.5065057922389999
SRSF2,7.8177511503399995,0.938053337834
MYB,0.62293035092,0.871492541253
JAK1,5.68116812042,1.15481494212
MLF1,5.37295209791,1.1286878702
MYCL,2.66448284036,1.1180684434700001
CREB3L2,3.18428029442,1.1358399206999998
PTCH1,3.01613970266,1.13157349576
CASP9,3.2690331464599995,1.11694655438
ETNK1,4.4362951198400005,0.973787541835
NOTCH2,6.19849415364,1.49514570248
HOXA13,2.35614381023,1.7534483691900002
PLCG1,5.35895882583,1.3037088503
SMARCB1,8.03666816608,1.91346110182
NCOA1,4.37225564845,1.64155807996
XPC,4.39025495632,1.41451593451
PPFIBP1,4.70210340663,1.00367065779
IGF2BP2,5.792855352359999,1.1286878702
RNF43,2.3950627995200002,0.829241905264
BCORL1,2.60880924268,0.870078710305
CIITA,0.12432813500199999,1.0924118914899998
CXCR4,0.23878685958700002,0.871700678627
CAMTA1,7.266786540689999,1.3493528404799997
ASXL1,5.9870934370599995,1.2603424699299999
TP53,6.39351916799,1.07641219987
SS18,4.87085786436,0.49116371690399996
B2M,10.7084804089,0.8472580742389999
ESR1,2.49313492231,0.871492541253
RECQL4,5.09929520434,1.1275622033700001
TPR,6.135657989369999,1.3769989469100001
PICALM,7.569703737699999,1.36381177129
JUN,7.6743335288,1.15481494212
NOTCH1,2.07724299893,1.2251203530099999
MGMT,3.97544676564,0.852515539756
SMARCA4,5.79103261676,0.8136135698810001
RMI2,4.53231695933,1.0924118914899998
NUTM2A,1.16349873228,0.852515539756
BTK,0.38956681176299995,0.870078710305
AFF1,3.47378691161,0.893481977389
ACSL6,0.286881147788,0.854798659205
RPL10,11.359639762,0.870078710305
PMS1,3.9439213265499995,0.855077656451
MAP2K4,4.36317107712,1.07641219987
STRN,5.012568673500001,1.64155807996
BCOR,3.11436702495,0.5065057922389999
EBF1,0.042644337408499995,0.854798659205
MAX,5.579843886209999,1.12028529884
FANCF,2.38956681176,0.869295027133
TNC,6.441284271930001,1.13157349576
CRTC1,2.92409988564,1.08648054969
CHST11,4.724650271730001,0.737669251688
VAV1,3.7570232465099997,0.8136135698810001
FOXR1,0.0285691521968,0.958506416743
ATM,4.01435529298,0.958506416743
DNM2,6.12122266984,0.8136135698810001
NUTM1,0.0143552929771,0.8472580742389999
SEPT5,4.83339613416,1.8895410081900001
CSMD3,0.0,0.8874844960639999
PPM1D,3.0703893278900005,0.938053337834
ATF1,4.322649262130001,0.942838781347
BRCA1,4.66448284036,1.1063582199200002
HERPUD1,4.83642913116,0.8361749681980001
STAG2,5.33019983285,0.870078710305
CLP1,3.92314918047,0.845371053273
RHOH,0.042644337408499995,0.8816259397399999
AMER1,1.4750848829499998,0.885038562104
FGFR1OP,4.558879853480001,0.8452974458589999
NDRG1,3.18903382439,1.1275622033700001
PDGFB,4.43095427139,1.08629855252
CASP3,3.67581593117,0.480793290959
TSC2,5.07809742303,1.0924118914899998
KDSR,3.82680268429,0.49116371690399996
PTPN11,6.55443536532,1.04955488921
H3F3A,8.64533419484,1.15147758232
SFRP4,0.0143552929771,1.7534483691900002
EZH2,5.58586390346,1.1358399206999998
FAT4,0.516015147004,0.893481977389
WT1,2.61353165292,0.869295027133
ELK4,3.8688842730300004,1.3892750982
NUP98,4.88410945136,0.48364589488399995
EIF4A2,8.5650639869,1.1286878702
ACSL3,6.259460816130001,0.85274043712
MPL,0.18903382439,1.1180684434700001
BIRC6,5.8369340113199994,1.64155807996
YWHAE,9.93248052596,1.07641219987
EXT2,6.1717272440799995,0.869295027133
PAX5,0.21412480535300002,0.850212849971
FEV,0.0143552929771,0.85274043712
DDB2,4.65477921696,1.11287661829
KAT7,5.0422065601199995,1.1247726635200002
NTRK1,0.32192809488699997,1.33478411888
CCDC6,5.61087719947,1.54229104819
PIK3R1,1.3840498068,0.857587601305
ARHGAP26,3.4422800352499996,0.854798659205
GNAQ,4.18824265626,1.3359269335500001
TCL1A,0.310340120612,0.824756754438
NFE2L2,5.07081863753,0.856654080204
TGFBR2,6.1043366598099995,1.41451593451
FSTL3,5.474436043250001,0.8136135698810001
GPHN,3.8953026213300004,1.12028529884
IL6ST,6.09908476089,0.857587601305
TPM4,7.815511387360001,1.08648054969
TNFRSF17,0.17632277264000001,1.0924118914899998
TFRC,8.00191480808,1.1286878702
GNA11,5.11561593143,0.8136135698810001
ALDH2,5.35508676167,1.04955488921
CDH11,0.12432813500199999,0.8361749681980001
AFF3,0.44360665147600004,1.0819393901999999
CBL,3.7591558338,0.958506416743
COL2A1,0.18903382439,0.942838781347
TCF12,4.00898878323,0.8472580742389999
PHOX2B,0.0,0.8816259397399999
SETD2,4.419538891509999,0.8356358118420001
CCNB1IP1,5.42592920521,1.13459465964
BCL11B,0.0,0.824756754438
NFATC2,1.8196681835,1.6690568366299998
MLLT1,4.5210507369,0.8136135698810001
PIK3CA,3.7655347463599997,1.1286878702
KLK2,0.0,1.08648054969
C15orf65,0.6322682155,0.8472580742389999
XPO1,7.20574438506,1.13036119154
GOLGA5,4.397118409040001,0.824756754438
IL2,0.0,0.893481977389
ZBTB16,0.0,0.958506416743
HSP90AA1,9.839377027100001,0.720456481647
BRCA2,3.42760617278,0.87006557677
IKZF1,0.2750070475,1.5352239583
NRAS,5.472812666189999,1.15481494212
SMARCE1,6.900504579660001,1.1063582199200002
DDIT3,4.90977310414,0.920650314674
PSIP1,6.086189313099999,0.768866119498
ARID2,3.2735158897,0.942838781347
KLF6,7.20974577418,1.15755215599
MDM4,3.8469946869699996,1.3892750982
TRIM24,3.59096124134,1.1358399206999998
HSP90AB1,10.4483228325,1.1362808253899999
ZRSR2,2.972692654,0.5065057922389999
MET,6.77360079528,1.1358399206999998
PIM1,4.697662633469999,1.1362808253899999
MACC1,4.50080205306,1.7534483691900002
CASP8,3.67807190511,0.857180774108
MB21D2,3.83289001416,1.1286878702
CBFB,5.68481873755,0.819991284896
ERCC2,5.34943605171,1.08648054969
MECOM,0.59454854955,1.1286878702
SMO,2.344828497,1.1358399206999998
CCND1,7.233811384289999,1.39160827598
MUC1,5.90014226036,1.5678940528100003
CBLB,1.4436066514800001,0.8545545913439999
AKT3,3.9476661568,1.15437870195
TP63,0.903038270113,1.1286878702
SEPT9,7.49960674654,0.938053337834
PIK3CB,4.11353381959,0.8545545913439999
SDC4,8.56350137043,1.4641732012200002
NSD1,3.85798099513,0.854798659205
LMNA,9.124845063250001,1.33478411888
WAS,0.310340120612,0.5065057922389999
RBM15,3.74416109557,1.15481494212
GOPC,5.10181813423,0.871492541253
SET,8.98108202096,1.0709889286799998
ETV6,2.30451104181,0.911277429053
FUBP1,6.592158002130001,1.15481494212
FOXA1,2.57773093149,1.12028529884
SETBP1,1.16349873228,0.49116371690399996
FES,2.8972404255699997,0.933917411329
CALR,9.66391384212,0.8136135698810001
RAD51B,3.44493204894,1.12028529884
NACA,10.2034703638,0.920650314674
CREB3L1,1.09761079663,1.11287661829
THRAP3,6.33592624093,1.1180684434700001
PRKCB,0.0703893278914,0.821807636197
EWSR1,7.90797221133,1.08629855252
SETDB1,4.86789646399,1.38314586085
PPP2R1A,6.99661471482,1.08648054969
MUC16,0.0143552929771,0.8136135698810001
FHIT,0.12432813500199999,0.897633944355
TBX3,0.042644337408499995,1.04955488921
COL1A1,3.7376867614099996,1.1247726635200002
CDK12,4.92552476975,1.1063582199200002
FLT4,1.01435529298,0.854798659205
H3F3B,9.59758703959,0.938053337834
ABL1,5.043956872790001,1.07609360083
AKT2,6.2061352534,1.08648054969
BRD3,2.9030382701099997,1.07609360083
FANCG,5.892391025909999,0.850212849971
POT1,4.86937792403,1.1358399206999998
GATA2,4.12928301694,0.8545545913439999
GATA3,2.77188557852,0.831141289474
KCNJ5,0.0285691521968,0.958506416743
PCBP1,7.82323984413,1.13036119154
ALK,0.641546029088,1.64155807996
CHEK2,4.76022094647,1.10307221629
PHF6,5.451211111830001,0.870078710305
GAS7,2.9411063109500004,1.07641219987
FBXO11,5.94227990171,1.64155807996
PRDM2,4.57410150809,1.11694655438
ACVR1,2.3812833725,0.871700678627
FAS,3.90496571868,0.852515539756
ERCC3,5.14771372235,0.837923492394
POLE,5.6022905848599995,1.0968418363799999
SDHA,8.15689207363,1.8172311780900001
ERCC4,3.20163386117,1.0924118914899998
CHN1,1.09761079663,0.856654080204
FGFR3,3.66675659188,0.822990342821
ATP2B3,0.0,0.870078710305
FOXO4,1.3391373849200001,0.519164343314
SIX2,2.85399564718,1.64155807996
USP8,4.80167602925,0.8472580742389999
