Gene_name,gene_expression,copy_number
EXT1,3.5285713188699996,0.900766556078
SOCS1,2.28392177231,1.19103136091
SS18L1,4.37503943135,0.856484836076
TERT,0.23878685958700002,1.2314206413200002
FANCD2,5.63662462054,0.936941352711
HOXC13,0.584962500721,0.920612105179
CCND3,5.1399605695499995,0.932506584576
MAFB,0.2750070475,1.1673556707600001
EED,4.6501901235,0.982902527902
CD74,1.13093086983,0.926901196812
VHL,6.1661128574,0.936941352711
CYSLTR2,0.0565835283664,0.9419663263860001
BCR,3.68706068834,1.19103136091
IL7R,0.042644337408499995,1.3906838811500002
HOOK3,3.46336088582,0.835192277827
PREX2,3.2000648615099996,0.937658038601
CBFA2T3,5.25964912065,1.13819398547
PRKACA,5.91097245166,1.1062452258700002
TSC1,3.5631581304,1.14289311849
PAFAH1B2,5.381629467030001,0.958708362544
KMT2C,4.48349335128,0.895576110697
PTPRK,5.70016225011,1.27219776999
BCL2,1.7311832415700001,0.953958946247
CPEB3,0.6959938131100001,0.563005399608
FH,6.86876083388,1.02653970821
CIC,4.29204549249,0.885535247718
ETV4,0.575312330687,1.20694783981
NKX2-1,6.951168128839999,1.4600967558200002
MSH6,5.93922657773,1.2484882345100001
RARA,3.7376867614099996,1.19367469387
EPAS1,0.44360665147600004,1.2484882345100001
BRAF,4.28318097895,0.9054657702869999
IRF4,0.13750352375,0.941534867101
FAM135B,0.0976107966264,0.964546621419
SDHC,6.64803395056,0.919103500995
ERBB2,3.16992500144,1.19367469387
CNBD1,0.0,0.937658038601
PRKAR1A,6.99220193489,1.21900255737
NF1,5.68706068834,1.48832328599
RBM10,5.82959589918,0.975314868424
RHOA,8.03397354344,0.86691770499
KNSTRN,6.7051485282500005,1.2283229612
SLC45A3,1.5160151469999998,0.933744906166
BARD1,1.78659636189,0.9401934454009999
PRDM16,0.042644337408499995,0.915856591016
CRNKL1,4.89965902638,1.29133053653
CCR7,0.0285691521968,1.20694783981
RET,0.17632277264000001,0.554400389984
ZNF429,4.06608919046,1.1062452258700002
ZMYM2,6.204375511319999,1.46647008153
CTCF,5.55458885168,1.1880551027200001
CD274,0.333423733725,0.917314330556
ITK,0.0143552929771,0.926901196812
LEF1,0.641546029088,0.584296142072
STAT3,5.002702520380001,1.20694783981
MTOR,5.2445065514,0.915856591016
GMPS,6.29333369531,1.25725206065
CBLC,0.0285691521968,0.8611052747299999
MUTYH,4.67694435911,0.942445889936
BCL9L,1.80322703643,0.958708362544
MAP2K2,7.12350066435,1.1062452258700002
HNF1A,1.25701061821,0.890177032302
CYLD,3.40463068422,1.16791051969
RNF213,5.2257376534699995,1.59163686308
PML,3.91934008244,1.2223709933
CUL3,5.5058909297300005,0.9401934454009999
RAD17,4.3426969599800005,0.949756558379
FKBP9,5.05050169745,0.947780664218
EML4,5.44757919655,1.2484882345100001
BRD4,5.12556845178,1.1062452258700002
DEK,7.80832068916,0.941534867101
PAX8,0.0976107966264,0.955023694461
BRIP1,3.69265037004,1.19254941076
STAT5B,5.84071499114,1.20694783981
TSHR,2.16671544497,1.4579970760799998
JAK2,1.58014548442,0.917314330556
FIP1L1,5.32048467802,0.9739397082100001
BMPR1A,2.54101915313,0.566763677746
HMGA1,8.753283616460001,0.932506584576
MAP3K1,2.64154602909,0.9491297403799999
AXIN2,2.9708536543400004,1.21900255737
KAT6A,4.35049724708,0.835192277827
SALL4,4.0241423459,0.856484836076
FGFR1,3.8278190246199997,0.9576892307529999
PPP6C,5.80915716469,1.2022491315200001
TFE3,4.30888505741,0.975314868424
LRIG3,1.6780719051100002,0.920612105179
NFKB2,0.871843648509,0.563005399608
TEC,0.713695814843,1.11585826444
ELF3,0.38956681176299995,0.933744906166
EPS15,4.4548339069,0.942445889936
USP6,0.23878685958700002,0.893404416457
ARHGEF10,4.33127526715,0.938422932463
ATIC,7.432458384510001,0.9401934454009999
HIF1A,6.80438919854,1.57285471393
SRSF3,7.35482237847,0.932506584576
ARHGAP5,5.004501392230001,1.4600967558200002
RPL22,9.65250442094,0.915856591016
TFPT,3.82476785314,1.03143518348
PDCD1LG2,0.0,0.917314330556
GNAS,10.2300204357,0.856484836076
CEP89,4.19455988602,1.1062452258700002
ARID1B,4.9855004303,1.27219776999
PLAG1,1.4905701304499999,0.906445043971
RAC1,6.70431867776,0.8388459414849999
HOXA11,2.17951105027,0.947780664218
RANBP17,3.0071955014,0.926901196812
STAG1,4.11852584894,1.25725206065
GRM3,0.111031312389,0.957980333353
SPECC1,3.5849625007199997,1.21256765503
NBN,3.34056226903,0.937658038601
NFIB,0.731183241572,0.905931996213
USP44,1.7311832415700001,0.932125797682
SLC34A2,0.0143552929771,1.11585826444
ARID1A,5.48928602263,0.942445889936
COX6C,8.45807845764,0.855813473792
EP300,4.6797615735199996,1.19103136091
SUZ12,5.60969587286,1.24889365359
TPM3,7.80909283764,0.919103500995
ID3,5.67440415394,0.915856591016
FOXL2,1.42760617278,1.25725206065
BIRC3,0.163498732283,0.918444042806
LATS1,3.8972404255699997,1.27219776999
HMGA2,2.6553518286099997,0.9668889072650001
ZNRF3,3.44095219803,1.19103136091
MDM2,4.1667154449699995,0.9668889072650001
DDX5,9.01036025957,1.21900255737
ASXL2,3.44095219803,1.23590379229
EIF1AX,7.389394724319999,0.975314868424
ELF4,2.0071955014,0.9896374850749999
STK11,5.32481060342,1.1062452258700002
MYC,10.074409099299999,6.051123029380001
PBRM1,5.15015345525,0.8974736758190001
NCKIPSD,4.05571626351,0.86691770499
PAX7,0.0143552929771,0.915856591016
BAZ1A,6.09254574154,1.4600967558200002
HOXD13,4.66220549965,0.9856223642219999
CLIP1,3.92314918047,0.890177032302
BCL7A,4.30524096595,0.890177032302
STAT6,0.20163386116999998,0.920612105179
CHCHD7,5.50557340028,0.906445043971
RGS7,1.7907720378599998,1.02653970821
SKI,3.9401667504800004,0.915856591016
JAK3,0.263034405834,1.1062452258700002
MDS2,0.0976107966264,0.915856591016
ACKR3,3.50207595605,1.036244137
RUNX1T1,4.52544250602,0.937658038601
SEPT6,5.53822773974,0.9896374850749999
CDKN1B,5.71121955689,0.9340785001399999
CNBP,9.510882821989998,1.21177192162
ATRX,5.41886457739,0.981273141891
ELL,3.51979348624,1.1062452258700002
CLTCL1,2.43829285158,1.1661356057799999
FLT3,0.17632277264000001,1.46647008153
FBXW7,3.2839217723100003,0.584296142072
FGFR2,3.61706334389,0.563005399608
LARP4B,3.9504684141500004,0.554400389984
FAT3,1.3840498068,1.37146279135
HLF,0.855989697308,1.23636418533
VTI1A,3.3729520979100003,0.563005399608
PAX3,0.925999418556,0.9401934454009999
FAM47C,0.0,0.975314868424
SDHAF2,4.6724253419699995,0.901370419074
ZNF479,0.0,0.89511372935
MLH1,4.731726322719999,0.938853379836
MYOD1,4.88849973551,0.9491297403799999
XPA,4.61117238004,1.24582611176
HOXD11,2.80941444424,0.9856223642219999
PRRX1,3.18745105403,0.9382794811380001
DNMT3A,4.27649666564,1.23590379229
STIL,3.5484366247000003,0.942445889936
SH2B3,1.91838623445,0.905792110323
TCF3,7.358607249119999,1.1062452258700002
