Gene_name,gene_expression,copy_number
EXT1,6.87369018024,0.963474407242
SOCS1,2.35049724708,1.6262524016100002
SS18L1,4.41074812819,1.4405046478999999
TERT,1.5993177937,1.4915431400699999
FANCD2,4.30815697511,0.777660424673
HOXC13,0.475084882949,1.25696125174
CCND3,5.27202318906,1.02460632622
MAFB,0.992768430769,1.2351558847600002
EED,4.9221978484,1.51289358225
CD74,6.73930807086,1.2247724635600001
VHL,6.07531869255,0.777660424673
CYSLTR2,0.0976107966264,0.44680115477399995
BCR,4.73443866614,0.800876210535
IL7R,0.042644337408499995,0.7753296128120001
HOOK3,3.6803243568400004,0.9068183007189999
PREX2,2.41683974191,0.434172424873
CBFA2T3,0.871843648509,1.05521786904
PRKACA,5.11144869849,1.25155989515
TSC1,3.09592442,0.78817241569
PAFAH1B2,6.06371864015,1.45647113379
KMT2C,4.40939093614,1.3106402141700002
PTPRK,4.47248777146,1.04446477852
BCL2,1.464668267,0.7934471561650001
CPEB3,1.6599245584,0.8653378661259999
FH,6.82196526587,1.25411355641
CIC,4.38818953716,1.02089921645
ETV4,4.751142324730001,1.0522118821100002
NKX2-1,0.042644337408499995,1.07232675851
MSH6,6.28077077013,1.44790495016
RARA,4.29204549249,1.25905601691
EPAS1,4.730639955919999,1.44790495016
BRAF,4.47702965301,1.07484610309
IRF4,0.17632277264000001,1.64055124179
FAM135B,0.0,1.29121225469
SDHC,6.77135740899,1.2277498592899998
ERBB2,4.86888427303,1.25905601691
CNBD1,0.0,0.762563376909
PRKAR1A,6.64932804098,0.809344247386
NF1,3.90785207185,1.09561004189e-06
RBM10,4.44691786487,0.43393858523199996
RHOA,7.664198369289999,0.731327208162
KNSTRN,5.797272432030001,1.0490566946100002
SLC45A3,2.0908534304499997,0.7712219861310001
BARD1,2.85798099513,1.03983521326
PRDM16,1.9145645234900002,1.05760606685
CRNKL1,3.70265754339,0.827963897657
CCR7,0.32192809488699997,1.29227703244
RET,0.0703893278914,1.0154821918299999
ZNF429,3.7169908944,1.25155989515
ZMYM2,5.3219280948900005,0.789941781864
CTCF,4.82017896242,1.03527088049
CD274,1.18903382439,0.43536929247699996
ITK,0.042644337408499995,1.2247724635600001
LEF1,0.22650852980900002,0.791840840132
STAT3,5.776103988069999,1.0522118821100002
MTOR,5.1395513524,1.05760606685
GMPS,6.7475216725400005,2.03776552743
CBLC,0.042644337408499995,1.02089921645
MUTYH,5.14036967065,1.03952707424
BCL9L,5.64241277291,1.45647113379
MAP2K2,6.161887682380001,0.776036622406
HNF1A,2.42760617278,1.06897382827
CYLD,4.035623909730001,1.03368427787
RNF213,4.95605665241,0.795606841107
PML,5.127220550490001,1.0046073334799999
CUL3,5.962549022919999,1.03983521326
RAD17,5.36946648365,1.25632162059
FKBP9,5.862203399049999,1.04498004035
EML4,4.76765479824,0.959145367049
BRD4,5.932864335310001,1.25155989515
DEK,8.81957239231,1.45850592893
PAX8,7.515699838280001,1.1329090526299999
BRIP1,2.22032995488,0.809344247386
STAT5B,5.12267271882,1.0522118821100002
TSHR,0.0143552929771,0.769815089352
JAK2,1.55090066465,0.43536929247699996
FIP1L1,6.493455200930001,1.02521659765
BMPR1A,2.69376571222,0.8296682320409999
HMGA1,7.843544237330001,1.0102864115799999
MAP3K1,0.432959407276,1.03138410667
AXIN2,0.918386234446,0.809344247386
KAT6A,4.70487196446,0.9068183007189999
SALL4,1.4750848829499998,1.4405046478999999
FGFR1,4.82068956056,1.09647447927
PPP6C,4.95791459863,0.773128529184
TFE3,5.14649230698,0.43393858523199996
LRIG3,4.48800077083,1.26389393945
NFKB2,6.270715807869999,1.07926453815
TEC,2.15704371015,1.02521659765
ELF3,5.35543919725,0.7712219861310001
EPS15,5.24944534109,1.03952707424
USP6,0.555816155062,1.03557815711
ARHGEF10,2.67807190511,0.50209882935
ATIC,7.85798099513,1.03983521326
HIF1A,7.81082866219,1.07232675851
SRSF3,8.03644838544,1.02460632622
ARHGAP5,5.25474519763,1.07232675851
RPL22,9.74480020785,1.05760606685
TFPT,4.26678654069,0.756587185703
PDCD1LG2,0.0703893278914,0.43536929247699996
GNAS,9.87355177231,1.4405046478999999
CEP89,3.82680268429,1.16963163926
ARID1B,3.78345665436,1.04993536183
PLAG1,3.7970129778400006,1.00195131785
RAC1,7.581577215539999,0.75487462058
HOXA11,2.64385618977,1.04498004035
