Gene_name,gene_expression,copy_number
EXT1,4.43295940728,0.9443178408390001
SOCS1,0.748461233004,0.9964543676890001
SS18L1,4.26828466652,0.966205328373
TERT,2.124328135,0.968941680722
FANCD2,4.45943161864,1.0235389514700002
HOXC13,1.9745293124799999,1.13100608951
CCND3,4.777682717069999,0.9881490777299998
MAFB,3.522306892869999,0.966205328373
EED,5.049630767719999,0.9805824572390001
CD74,3.09085343045,0.9138373122040001
VHL,5.8686373841699995,1.0235389514700002
CYSLTR2,0.0285691521968,0.976691386802
BCR,4.67638025547,0.992917470704
IL7R,0.32192809488699997,0.9752657321729999
HOOK3,2.84599177066,0.997751754528
PREX2,0.0285691521968,0.9641566283759999
CBFA2T3,0.526068811668,1.32795897082
PRKACA,5.19770815796,0.982507351973
TSC1,4.4141355329800005,1.00150077979
PAFAH1B2,5.94110631095,1.29707524476
KMT2C,4.88117515535,1.00120049907
PTPRK,5.79753183957,1.0411197968
BCL2,2.89917563048,0.966107701957
CPEB3,1.95605665241,0.987207226341
FH,6.65764000521,1.05770998459
CIC,5.142413437869999,0.987851583398
ETV4,5.07852444539,0.9752657321729999
NKX2-1,0.111031312389,1.09903170903
MSH6,4.99864683901,0.978020030122
RARA,3.58255600301,0.982803723524
EPAS1,2.5631581303999997,0.978020030122
BRAF,3.48928602263,0.9970031191600001
IRF4,0.53605290024,0.95841710412
FAM135B,0.0,0.9324589801629999
SDHC,7.54511893001,1.04281710412
ERBB2,5.52888382727,0.982803723524
CNBD1,0.0,0.962403031222
PRKAR1A,6.76712507727,0.984335970204
NF1,5.50366675458,0.986067927358
RBM10,4.98413359454,0.8454344658490001
RHOA,8.56639658999,0.962695141561
KNSTRN,5.5169606599000005,0.992867717636
SLC45A3,3.37712374913,1.05138366886
BARD1,3.3519109611,0.972467829359
PRDM16,2.3391373849200003,0.992768216698
CRNKL1,4.18269229752,1.0178085753200001
CCR7,0.17632277264000001,0.971879514343
RET,0.150559676575,0.9991502503990001
ZNF429,0.2750070475,0.982507351973
ZMYM2,5.49089097889,1.1698538390200002
CTCF,4.80322703643,1.3564814115700001
CD274,1.15055967658,0.9567193388940001
ITK,0.150559676575,0.9138373122040001
LEF1,1.2750070475,0.9837920791779999
STAT3,6.31958180857,0.9752657321729999
MTOR,4.86740230573,0.992768216698
GMPS,5.50747752952,0.9904319399860001
CBLC,5.60139939053,0.9863155230769999
MUTYH,5.0071955014,0.987207226341
BCL9L,5.011674533380001,1.29707524476
MAP2K2,6.684397983639999,0.982507351973
HNF1A,2.5993177937,1.0775798869700002
CYLD,3.80941444424,1.29636370566
RNF213,7.872828759530001,0.9828531248469999
PML,5.32589006104,1.00350424552
